ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
11,18.17964286,2.26,23.09975,15.97166667,13.45366667,15.80983333,12.20349643,12.884125,12.58103241,10.30878333,6.2175,9.847791667,5.847111111,5.218966667,4.490083333,6.266518519,5.75125,5.37515,4.721666667,6.369,6.265277778,4.853633333,4.540966667,6.463,5.686102381,6.44925,7.335666667,7.900873333,9.228055556,11.6565,10.85481481,15.79988095,6.8846,3.421666667,2.55
12,4.3975,2.44,7,3.3475,3.39775,3.337883333,3.378483333,3.21797619,2.990875661,2.954654762,3.15787037,3.333916667,3.069259259,3.138266667,2.979,2.926481481,2.94585,2.85775,2.781777778,2.874462963,2.525185185,2.6627,2.910533333,2.6279,2.79687381,2.926083333,3.171666667,3.876503333,3.836863426,4.25,5.080555556,5.135238095,6.18,9.273333333,8.74
13,14.71968229,3.19,20.45491111,13.21208333,11.39742778,10.83509683,9.229854244,10.96352381,9.225518445,9.934267857,9.852630071,8.492958333,8.505333333,8.841983333,8.11,6.977962963,7.899716667,6.2488,6.196666667,6.795981481,6.776296296,7.6852,8.1416,8.371866667,9.250895238,8.533416667,8.998583333,11.14791667,12.262375,10.7985,14.13314815,13.99214286,19.605,16.92817177,16.67785714
14,21.3,1.67,16.202,11.70333333,11.11033333,9.805466667,8.958494444,10.52127381,10.05521164,7.99552619,7.975396825,8.86075,7.607888889,7.304333333,7.529083333,7.28862963,6.49085,5.4157,4.842925926,5.987703704,6.731727431,6.504727762,6.380322826,6.626932064,6.583009188,6.586413144,8.504583333,9.939555808,8.824035215,12.4798463,16.56111111,17.1625,19.564,25.115,25.35
15,15.16078571,3.24,15.8142016,12.17833333,9.684173509,12.15187083,9.331002778,12.816,9.402973545,11.48543571,9.218624339,7.9155,6.819666667,6.359133333,7.36825,4.657444444,4.866233333,3.74755,3.782185185,4.759592593,4.863888889,5.071966667,4.3321,4.5905,5.130730952,4.821541667,6.408333333,7.168243333,8.498589815,8.145,11.995,12.5175,18.286,21.105,16.611875
16,4.774848771,2.45,5.995844108,5.185466667,4.423477937,4.358522155,3.541377778,5.849513039,4.013866071,5.457904762,4.351613757,3.9150625,3.933592593,3.894816667,4.080916667,2.576851852,2.588533333,2.49835,2.781851852,2.376259259,2.492222222,2.306933333,2.5059,2.714333333,2.52355,3.216875,2.86025,3.552056667,3.035449074,3.067,2.686851852,2.601785714,2.708,2.706666667,2.74
17,22.56666667,1.86,38.498,25.28083333,11.85125,25.0958,18.835225,22.41932143,17.7705873,13.4715,11.75199735,12.891125,8.304333333,8.407166667,9.559916667,5.928962963,7.0073,4.9192,5.173925926,5.149537037,5.290833333,5.0347,5.1034,5.783283333,6.619342857,5.581541667,10.48125,17.88404833,22.90032407,27.301,12.38833333,12.8275,1.49,35.485,
18,4.0675,2.37,6.044,4.874166667,6.148416667,5.806116667,5.731038889,5.530678571,5.726489418,5.994164286,5.398941799,5.551666667,5.781222222,5.351383333,5.168833333,5.636740741,5.4005,4.7099,4.337592593,5.439277778,5.31462963,5.966333333,5.778133333,5.849583333,5.97102381,6.674708333,7.910395833,10.44356915,13.41657407,12.68720885,19.68565819,17.68664593,18.18329758,15.66349494,16.908275
19,2.085,3.03,2.414,2.244133333,3.556166667,2.058633333,2.244127778,1.774452381,2.011301058,1.790954762,2.130740741,1.843958333,2.02762963,2.047733333,2.060416667,2.288851852,2.16115,2.43955,2.374592593,2.151518519,2.00712963,1.908933333,1.824733333,1.936733333,1.944183333,2.2695,3.2085,4.316591667,3.569784672,4.717285714,4.559890873,5.653762205,6.712545414,7.885836495,11.85585938
20,28.08784439,2.03,35.2,27.59767857,19.91205102,24.18719167,19.38404497,21.037304,20.83746561,16.64492024,14.14958333,14.40575,15.51281481,13.0639,10.854,8.763037037,8.131070833,6.40125,5.497851852,6.855,6.344814815,6.696766667,6.629966667,6.78185,7.195769048,8.138166667,8.510666667,9.630076667,11.59527778,12.5045,27.09333333,23.11214286,21.814,35.16833333,39.875
